22657,Насалик Ігор Степанович,Блок Петра Порошенка
26322,Насіров Роман Михайлович,Блок Петра Порошенка
279,Негой Федір Федорович,Блок Петра Порошенка
22288,Недава Олег Анатолійович,Блок Петра Порошенка
280,Немиря Григорій Михайлович,"ВО ""Батьківщина"""
22097,Нестеренко Вадим Григорович,Блок Петра Порошенка
283,Нечаєв Олександр Ігоревич,Опозиційний блок
284,Ничипоренко Валентин Миколайович,"Група ""Економічний розвиток"""
24873,Німченко Василь Іванович,Опозиційний блок
285,Новак Наталія Василівна,Блок Петра Порошенка
445,Новинський Вадим Владиславович,Опозиційний блок
289,Омельянович Денис Сергійович,Опозиційний блок
290,Онищенко Олександр Романович,"Група ""Воля народу"""
26313,Онуфрик Богдан Семенович,Блок Петра Порошенка
25933,Опанасенко Олександр Валерійович,"Об'єднання ""Самопоміч"""
293,Остапчук Віктор Миколайович,"Група ""Економічний розвиток"""
25932,Острікова Тетяна Георгіївна,"Об'єднання ""Самопоміч"""
294,Осуховський Олег Іванович,Не входить до складу жодної фракції
295,Павелко Андрій Васильович,Блок Петра Порошенка
296,Павленко Ростислав Миколайович,Блок Петра Порошенка
24872,Павленко Юрій Олексійович,Опозиційний блок
297,Павлов Костянтин Юрійович,Опозиційний блок
300,Паламарчук Микола Петрович,Блок Петра Порошенка
301,Палатний Артур Леонідович,Блок Петра Порошенка
24871,Папієв Михайло Миколайович,Опозиційний блок
23263,Парасюк Володимир Зіновійович,Не входить до складу жодної фракції
305,Парубій Андрій Володимирович,Не входить до складу жодної фракції
20959,Пастух Тарас Тимофійович,"Об'єднання ""Самопоміч"""
307,Пацкан Валерій Васильович,Блок Петра Порошенка
308,Пашинський Сергій Володимирович,Народний фронт
24189,Петренко Олег Миколайович,Блок Петра Порошенка
309,Петренко Павло Дмитрович,None
310,Петьовка Василь Васильович,Не входить до складу жодної фракції
313,Пинзеник Віктор Михайлович,Блок Петра Порошенка
18498,Пинзеник Павло Васильович,Народний фронт
314,Писаренко Валерій Володимирович,Не входить до складу жодної фракції
